iter	Passed	Remaining
613	16257	32726
614	16282	32696
615	16304	32661
616	16325	32624
617	16347	32588
618	16368	32552
619	16391	32518
620	16413	32484
621	16435	32448
622	16456	32412
623	16480	32379
624	16501	32343
625	16523	32308
626	16546	32274
627	16567	32237
628	16588	32201
629	16610	32165
630	16632	32131
631	16656	32100
632	16679	32067
633	16702	32035
634	16726	32003
635	16748	31969
636	16770	31935
637	16792	31900
638	16815	31867
639	16837	31833
640	16859	31799
641	16882	31765
642	16903	31729
643	16927	31698
644	16948	31663
645	16971	31630
646	16992	31595
647	17014	31560
648	17038	31529
649	17061	31498
650	17082	31462
651	17103	31427
652	17130	31400
653	17152	31367
654	17175	31336
655	17197	31302
656	17219	31267
657	17242	31234
658	17263	31200
659	17285	31166
660	17306	31131
661	17328	31096
662	17349	31062
663	17372	31030
664	17394	30995
665	17416	30962
666	17438	30928
667	17460	30895
668	17482	30862
669	17504	30828
670	17526	30795
671	17550	30765
672	17573	30734
673	17596	30702
674	17618	30669
675	17641	30638
676	17664	30606
677	17690	30579
678	17714	30550
679	17739	30521
680	17763	30492
681	17786	30461
682	17809	30429
683	17832	30398
684	17853	30364
685	17875	30331
686	17898	30299
687	17920	30267
688	17942	30234
689	17967	30207
690	17990	30174
691	18012	30142
692	18034	30110
693	18057	30079
694	18080	30047
695	18103	30015
696	18125	29983
697	18147	29950
698	18169	29918
699	18191	29885
700	18213	29854
701	18236	29822
702	18259	29791
703	18280	29758
704	18303	29726
705	18326	29695
706	18348	29664
707	18371	29633
708	18395	29604
709	18417	29572
710	18440	29541
711	18462	29509
712	18485	29478
713	18507	29446
714	18529	29413
715	18551	29381
716	18573	29349
717	18594	29315
718	18615	29283
719	18638	29251
720	18660	29219
721	18681	29186
722	18703	29155
723	18725	29122
724	18747	29090
725	18768	29056
726	18792	29028
727	18815	28997
728	18836	28964
729	18857	28932
730	18880	28901
731	18902	28869
732	18924	28839
733	18946	28806
734	18968	28775
735	18990	28743
736	19011	28710
737	19032	28678
738	19054	28645
739	19077	28615
740	19099	28585
741	19121	28553
742	19143	28522
743	19165	28490
744	19187	28459
745	19211	28431
746	19233	28399
747	19254	28367
748	19275	28334
749	19298	28304
750	19320	28272
751	19341	28240
752	19363	28208
753	19385	28177
754	19406	28146
755	19428	28114
756	19449	28082
757	19471	28051
758	19493	28020
759	19515	27989
760	19537	27958
761	19559	27927
762	19581	27895
763	19604	27866
764	19629	27839
765	19650	27808
766	19672	27777
767	19697	27750
768	19724	27727
769	19749	27700
770	19776	27676
771	19800	27648
772	19828	27625
773	19850	27595
774	19873	27566
775	19894	27534
776	19916	27503
777	19938	27472
778	19960	27443
779	19982	27411
780	20004	27380
781	20031	27357
782	20109	27402
783	20140	27385
784	20163	27355
785	20185	27324
786	20207	27294
787	20230	27264
788	20252	27234
789	20275	27204
790	20296	27173
791	20319	27143
792	20341	27113
793	20363	27083
794	20385	27052
795	20406	27020
796	20430	26992
797	20453	26963
798	20474	26932
799	20495	26900
800	20516	26869
801	20538	26838
802	20560	26807
803	20584	26780
804	20611	26756
805	20637	26730
806	20660	26703
807	20684	26674
808	20706	26644
809	20728	26614
810	20751	26584
811	20773	26554
812	20795	26524
813	20819	26497
814	20842	26468
815	20873	26449
816	20896	26421
817	20920	26393
818	20945	26367
819	20969	26339
820	20993	26311
821	21017	26284
822	21041	26256
823	21066	26230
824	21092	26205
825	21118	26180
826	21143	26154
827	21169	26129
828	21192	26100
829	21214	26070
830	21239	26044
831	21267	26021
832	21289	25992
833	21313	25964
834	21335	25934
835	21357	25905
836	21379	25875
837	21404	25848
838	21429	25822
839	21454	25796
840	21479	25769
841	21502	25741
842	21525	25712
843	21547	25683
844	21570	25655
845	21594	25627
846	21618	25600
847	21641	25571
848	21663	25542
849	21692	25520
850	21718	25495
851	21743	25469
852	21767	25441
853	21792	25416
854	21816	25388
855	21839	25359
856	21863	25332
857	21887	25305
858	21910	25276
859	21933	25249
860	21956	25221
861	21980	25192
862	22003	25164
863	22029	25140
864	22053	25113
865	22081	25090
866	22109	25068
867	22134	25041
868	22161	25017
869	22185	24990
870	22212	24966
871	22239	24942
872	22264	24917
873	22289	24890
874	22315	24865
875	22340	24840
876	22365	24813
877	22391	24788
878	22417	24764
879	22442	24737
880	22466	24710
881	22494	24687
882	22518	24660
883	22540	24631
884	22564	24604
885	22587	24575
886	22612	24550
887	22639	24526
888	22669	24505
889	22700	24486
890	22728	24463
891	22754	24437
892	22778	24411
893	22802	24384
894	22825	24355
895	22849	24328
896	22871	24299
897	22903	24280
898	22943	24270
899	22973	24249
900	23000	24226
901	23026	24200
902	23054	24178
903	23094	24167
904	23189	24214
905	23246	24221
906	23282	24206
907	23313	24186
908	23341	24162
909	23369	24139
910	23398	24117
911	23431	24099
912	23465	24082
913	23491	24057
914	23517	24031
915	23551	24014
916	23578	23990
917	23605	23965
918	23636	23945
919	23669	23926
920	23699	23905
921	23728	23882
922	23757	23860
923	23786	23837
924	23811	23811
925	23836	23785
926	23864	23761
927	23892	23738
928	23917	23711
929	23941	23684
930	23965	23656
931	23990	23629
932	24014	23602
933	24037	23574
934	24061	23546
935	24085	23519
936	24113	23496
937	24139	23470
938	24166	23445
939	24192	23420
940	24219	23395
941	24252	23377
942	24284	23357
943	24314	23336
944	24351	23320
945	24382	23299
946	24414	23280
947	24446	23260
948	24484	23246
949	24575	23281
950	24646	23298
951	24687	23286
952	24729	23275
953	24762	23257
954	24795	23238
955	24829	23218
956	24862	23199
957	24895	23180
958	24925	23158
959	24953	23134
960	24982	23110
961	25011	23087
962	25041	23064
963	25071	23042
964	25113	23031
965	25151	23016
966	25187	22999
967	25215	22975
968	25244	22951
969	25275	22930
970	25306	22908
971	25344	22893
972	25379	22875
973	25410	22853
974	25443	22834
975	25474	22812
976	25512	22796
977	25546	22777
978	25579	22757
979	25614	22739
980	25651	22723
981	25689	22707
982	25723	22688
983	25757	22668
984	25786	22644
985	25827	22631
986	25869	22619
987	25927	22621
988	25965	22604
989	26003	22588
990	26042	22573
991	26085	22561
992	26121	22543
993	26152	22521
994	26196	22510
995	26244	22502
996	26284	22488
997	26323	22472
998	26360	22455
999	26392	22433
1000	26420	22408
1001	26448	22383
1002	26476	22358
1003	26504	22333
1004	26530	22306
1005	26556	22280
1006	26583	22254
1007	26616	22232
1008	26646	22210
1009	26679	22188
1010	26710	22166
1011	26754	22154
1012	26786	22132
1013	26839	22128
1014	26878	22111
1015	26910	22089
1016	26945	22070
1017	26987	22056
1018	27024	22038
1019	27064	22022
1020	27106	22008
1021	27151	21997
1022	27194	21984
1023	27231	21965
1024	27262	21942
1025	27295	21921
1026	27323	21896
1027	27350	21869
1028	27376	21842
1029	27403	21816
1030	27429	21789
1031	27458	21764
1032	27550	21789
1033	27593	21776
1034	27622	21751
1035	27652	21726
1036	27680	21701
1037	27708	21675
1038	27735	21649
1039	27763	21623
1040	27788	21595
1041	27814	21568
1042	27842	21542
1043	27867	21514
1044	27894	21488
1045	27921	21462
1046	27951	21437
1047	27982	21413
1048	28010	21388
1049	28036	21361
1050	28062	21333
1051	28085	21304
1052	28110	21276
1053	28135	21248
1054	28160	21220
1055	28183	21191
1056	28208	21162
1057	28234	21135
1058	28259	21108
1059	28284	21079
1060	28308	21051
1061	28332	21022
1062	28360	20997
1063	28386	20970
1064	28411	20941
1065	28435	20913
1066	28459	20884
1067	28486	20857
1068	28511	20830
1069	28535	20801
1070	28560	20773
1071	28588	20747
1072	28613	20719
1073	28638	20692
1074	28663	20664
1075	28687	20635
1076	28711	20607
1077	28736	20579
1078	28760	20550
1079	28788	20525
1080	28814	20497
1081	28839	20470
1082	28864	20442
1083	28890	20415
1084	28916	20387
1085	28939	20359
1086	28965	20331
1087	28991	20304
1088	29020	20279
1089	29050	20255
1090	29081	20232
1091	29112	20208
1092	29145	20186
1093	29178	20163
1094	29222	20148
1095	29287	20148
1096	29380	20167
1097	29465	20180
1098	29540	20186
1099	29591	20176
1100	29647	20169
1101	29703	20161
1102	29756	20152
1103	29806	20140
1104	29841	20119
1105	29873	20095
